      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.1800000         0.8153093        -0.4584376         3.0084111        -0.5099676         7.5128511         8.9312734         0.3544061        -0.1026800        -0.0096926         0.0357295         0.0088115         0.0460321         0.0495649        -0.0042200         0.0000000        -0.0486293        -0.1261549         0.0000000        -0.5099676        10.6896252         4.6842812         0.0956825         0.2482212         1.0641261         1.0641261         0.2660242         0.2499932         0.1352031         1.2028757      sliding
         0.1850000         0.8651784        -0.4605701         3.0676429        -0.3438357         7.3359085         8.9444235         0.3535247        -0.1080531        -0.0065666         0.0373031         0.0097783         0.0459915         0.0518407        -0.0026068         0.0000000        -0.0407926        -0.1238666         0.0000000        -0.3438357        10.5469298         4.7518984         0.0831403         0.2524551         1.0632028         1.0632028         0.2657929         0.2499927         0.1304108         1.2526558      sliding
         0.1900000         0.9151269        -0.4618851         3.1261602        -0.1831674         7.1813421         8.9445122         0.3518173        -0.1132228        -0.0035085         0.0388429         0.0108008         0.0459663         0.0540255        -0.0008775         0.0000000        -0.0348393        -0.1216423         0.0000000        -0.1831674        10.4148389         4.8069849         0.0730599         0.2550904         1.0614198         1.0614198         0.2653467         0.2499922         0.1265331         1.2918557      sliding
         0.1950000         0.9650632        -0.4624123         3.1839862        -0.0287671         7.0444137         8.9319930         0.3494212        -0.1181853        -0.0005517         0.0403441         0.0118755         0.0459562         0.0561093         0.0009568         0.0000000        -0.0303979        -0.1195073         0.0000000        -0.0287671        10.2892385         4.8513745         0.0652691         0.2566010         1.0591220         1.0591220         0.2647718         0.2499918         0.1233127         1.3217179      sliding
         0.2000000         1.0148992        -0.4621855         3.2411247         0.1182554         6.9209403         8.9073839         0.3464613        -0.1229289         0.0022666         0.0418028         0.0129993         0.0459606         0.0580841         0.0028845         0.0000000        -0.0271376        -0.1174938         0.0000000         0.1182554        10.1666461         4.8867382         0.0594157         0.2572442         1.0561031         1.0561031         0.2640167         0.2499914         0.1205870         1.3438067      sliding
         0.2050000         1.0645508        -0.4612400         3.2975635         0.2589640         6.8073339         8.8712428         0.3430495        -0.1274266         0.0049531         0.0432156         0.0141687         0.0459787         0.0599433         0.0048942         0.0000000        -0.0247702        -0.1155198         0.0000000         0.2589640        10.0442016         4.9145455         0.0552154         0.2575054         1.0534723         1.0534723         0.2633586         0.2499910         0.1181456         1.3595706      sliding
         0.2100000         1.1139377        -0.4596050         3.3532776         0.3941495         6.7007099         8.8240747         0.3392822        -0.1316511         0.0075111         0.0445798         0.0153806         0.0460099         0.0616819         0.0069742         0.0000000        -0.0230583        -0.1135163         0.0000000         0.3941495         9.9196704         4.9359851         0.0522956         0.2574515         1.0508757         1.0508757         0.2627091         0.2499907         0.1158345         1.3703949      sliding
         0.2150000         1.1629841        -0.4573065         3.4082335         0.5245514         6.5988425         8.7663928         0.3352409        -0.1355753         0.0099442         0.0458930         0.0166318         0.0460536         0.0632959         0.0091132         0.0000000        -0.0218117        -0.1114179         0.0000000         0.5245514         9.7914299         4.9519961         0.0503519         0.2572053         1.0483908         1.0483908         0.2620875         0.2499903         0.1135328         1.3774759      sliding
         0.2200000         1.2116179        -0.4543661         3.4623914         0.6510237         6.5000541         8.6987046         0.3309952        -0.1391737         0.0122593         0.0471533         0.0179194         0.0461091         0.0647825         0.0113002         0.0000000        -0.0208798        -0.1091556         0.0000000         0.6510237         9.6583537         4.9633023         0.0491317         0.2568504         1.0460713         1.0460713         0.2615072         0.2499899         0.1111346         1.3817943      sliding
         0.2250000         1.2597716        -0.4508012         3.5157083         0.7745126         6.4031205         8.6215006         0.3266041        -0.1424229         0.0144656         0.0483589         0.0192403         0.0461760         0.0661399         0.0135245         0.0000000        -0.0201447        -0.1066590         0.0000000         0.7745126         9.5197123         4.9704430         0.0484346         0.2564442         1.0439567         1.0439567         0.2609781         0.2499894         0.1085447         1.3841252      sliding
